title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
Sister Code, GVN, n/a, n/a, n/a, n/a, 5/8/2015
Sister Helen, Cn4, $3541, 1, $2163, 1, 10/24/2003
Sister My Sister, 7Art, $217881, 5, $17907, 5, 6/23/1995
Sister Sister, NW, $743445, n/a, n/a, n/a, 2/5/1988
The Sisterhood of Night, Free, $6870, 10, $5264, 10, 4/10/2015
The Sisterhood of the Traveling Pants, WB, $39053061, 2583, $9833340, 2583, 6/1/2005
The Sisterhood of the Traveling Pants 2, WB, $44089964, 2714, $10678430, 2707, 8/6/2008
Sisters, Uni., $87044645, 2978, $13922855, 2962, 12/18/2015
The Sisters, Arc., n/a, 3, n/a, 3, 4/14/2006
Sisters in Law, WMM, $33312, 2, $4895, 1, 4/12/2006
The Sitter, Fox, $30441326, 2752, $9851435, 2750, 12/9/2011
The Situation, Shad., $48896, 7, $7187, 2, 2/2/2007
The Six Billion Dollar Man, W/Dim., n/a, n/a, n/a, n/a, 2019
Six Dance Lessons in Six Weeks, Da., $106323, 13, $12542, 7, 12/12/2014
Six Days Seven Nights, BV, $74339294, 2606, $16485276, 2550, 6/12/1998
Six Degrees of Separation, MGM, $6405918, 201, $53058, 2, 12/10/1993
Six in Paris (re-issue), NYer, $15532, 1, $4045, 1, 10/3/2008
Six Pack, Fox, $20225989, 783, $1946418, 504, 7/16/1982
Six Ways to Sunday, Strat., $54751, 6, $9521, 1, 3/5/1999
Six Weeks, Uni., $6668025, 613, $978541, 613, 12/17/1982
Six-String Samurai, Palm, $146125, 16, $36896, 16, 9/18/1998
Sixteen Candles, Uni., $23686027, 1245, $4461520, 1240, 5/4/1984
The Sixth Sense, BV, $293506292, 2821, $26681262, 2161, 8/6/1999
Sixty Six, FInd., $224614, 17, $9359, 2, 8/1/2008
Sizzle Beach U.S.A., N/A, n/a, n/a, n/a, n/a, 1974
Skank Robbers, SGem, n/a, n/a, n/a, n/a, TBD
Skateboard, Uni., $1318823, n/a, n/a, n/a, 2/1/1978
Skateland, Free, $19411, 11, $5254, 2, 5/13/2011
The Skeleton Key, Uni., $47907715, 2784, $16057945, 2771, 8/12/2005
The Skeleton Twins, RAtt., $5284309, 461, $380691, 15, 9/12/2014
The Skeptic, IFC, $6671, 2, $1553, 1, 5/1/2009
Sketches of Frank Gehry, SPC, $439309, 21, $17239, 2, 5/12/2006
Ski Party, AIP, n/a, n/a, n/a, n/a, 6/30/1965
Ski Patrol, Triu, $8533973, 565, $1648000, 515, 1/12/1990
Ski School, MovE, $18476, n/a, n/a, n/a, 1/11/1991
Skid Marks, Divr., $12959, 4, $2674, 1, 10/5/2007
Skid Row, Scre., $6627, 3, $6627, 3, 8/24/2007
Skills Like This, Shad., $63163, 7, $9413, 1, 3/20/2009
Skin Deep, Fox, $19674852, 1062, $2460262, 489, 3/3/1989
The Skin I Live In, SPC, $3185812, 116, $223119, 6, 10/14/2011
Skin Trade, Magn., $1242, 1, $162, 1, 5/8/2015
Skinless, PPF, $400, 1, $168, 1, 3/8/2014
Skins, First, $249204, 18, $23439, 9, 9/27/2002
Skinwalkers, ADF, $1018965, 745, $553520, 745, 8/10/2007
The Skulls, Uni., $35046120, 2416, $11034885, 2412, 3/31/2000
Sky Bandits, Gal., $2295500, 1335, $1468500, 1335, 10/31/1986
Sky Blue, MEP, $74663, 5, $3022, 1, 12/31/2004
Sky Captain and the World of Tomorrow, Par., $37762677, 3170, $15580278, 3170, 9/17/2004
Sky High, BV, $63946815, 2912, $14631784, 2905, 7/29/2005
Sky on Fire, WGUSA, $78366, 21, $39589, 21, 12/2/2016
The Sky Turns (El cielo gira), NYer, n/a, 1, n/a, 1, 2/11/2011
Skyfall, Sony, $304360277, 3526, $88364714, 3505, 11/9/2012
Skyjacked, MGM, n/a, n/a, n/a, n/a, 5/24/1972
The Skyjacker's Tale, Strand, $6253, 2, $1097, 1, 6/30/2017
Skyline, Uni., $21393620, 2883, $11692415, 2880, 11/12/2010
Skyscraper, Uni., n/a, n/a, n/a, n/a, 7/13/2018
Slack Bay, KL, $112621, 7, n/a, n/a, 3/10/2017
Slacker, OrionC, $1228108, 16, $24307, 2, 7/5/1991
Slackers, Sony, $5285941, 1893, $2785283, 1893, 2/1/2002
Slam, Trim., $1009819, n/a, n/a, n/a, 10/7/1998
Slamdance, Isld, $406881, 47, $125349, 47, 10/2/1987
Slamma Jamma, RivR, $1687000, 502, $1687000, 502, 3/24/2017
The Slammin' Salmon, Anch., $41587, 11, $26167, 11, 12/11/2009
Slap Shot, Uni., $28000000, n/a, n/a, n/a, 2/25/1977
Slappy and the Stinkers, Sony, $80837, 60, $34488, 60, 1/23/1998
Slash, Boxcar, $5902, 3, n/a, n/a, 12/9/2016
Slaughter Creek, Noct., $136815, 16, $49392, 16, 9/14/2012
The Slaughter Rule, Cow., $13411, 3, $1461, 2, 1/8/2003
Slaves of New York, TriS, $463972, 13, $26118, 1, 3/17/1989
Slayground, Uni., $108128, 62, $108128, 62, 1/27/1984
SLC Punk!, SPC, $299569, 137, $36218, 19, 4/16/1999
Sleep Dealer, Maya, $80136, 18, $35050, 18, 4/17/2009
Sleep with Me, MGM, $200151, 67, $33004, 6, 9/23/1994
Sleeper, UA, $18344729, n/a, n/a, n/a, 12/17/1973
Sleepers, WB, $53315285, 2080, $12305745, 1915, 10/18/1996
Sleeping Beauty, Dis., $36479805*, n/a, n/a, n/a, 1/29/1959
The Sleeping Beauty, Strand, $29066, 3, $5973, 1, 7/8/2011
Sleeping Beauty (2011) (II), IFC, $36578, 4, $9207, 2, 12/2/2011
Sleeping Beauty (Re-issue), BV, $15120195*, 1159, $2548698, 913, 3/7/1986
Sleeping Dogs Lie, IDP, $15745, 6, $10890, 6, 10/20/2006
Sleeping with Other People, IFC, $819431, 392, $89102, 5, 9/11/2015
Sleeping with the Enemy, Fox, $101599005, 1545, $13777943, 1406, 2/8/1991
Sleepless, ORF, $20783704, 1803, $8344128, 1803, 1/13/2017
Sleepless in Seattle, TriS, $126680884, 1657, $17253733, 1579, 6/25/1993
Sleepless Night, Trib., $3358, 2, $2106, 2, 5/11/2012
Sleepover, MGM, $9436390, 2207, $4171226, 2207, 7/9/2004
Sleepwalk with Me, IFC, $2266067, 135, $68801, 1, 8/24/2012
Sleepwalker, IFC, $5012, 1, $2636, 1, 11/21/2014
Sleepwalkers, Col., $30524763, 1914, $10017354, 1864, 4/10/1992
Sleepwalking, Over., $166057, 69, $47762, 30, 3/14/2008
Sleepy Hollow, Par., $101071502, 3069, $30060467, 3064, 11/19/1999
Sleight, BH Tilt, $3930990, 591, $1701785, 565, 4/28/2017
The Slender Thread, Par., n/a, n/a, n/a, n/a, 12/23/1965
Slenderman, SGem, n/a, n/a, n/a, n/a, 5/18/2018
Sleuth (1972), Fox, n/a, n/a, n/a, n/a, 12/10/1972
Sleuth (2007), SPC, $342895, 35, $46265, 9, 10/12/2007
Sliding Doors, Mira., $11841544, 522, $834817, 117, 4/24/1998
A Slight Case of Murder, WB, n/a, n/a, n/a, n/a, 2/26/1938
Sling Blade, Mira., $24444121, 1020, $28139, 3, 11/29/1996
The Slingshot, SPC, $308368, 16, $9711, 1, 6/3/1994
A Slipping Down Life, Lions, $107099, 31, $9066, 5, 5/14/2004
Slipstream, Strand, $8965, 6, $6273, 6, 10/26/2007
Slither, Uni., $7802450, 1946, $3880270, 1945, 3/31/2006
Sliver, Par., $36300000, 2093, $12138283, 2093, 5/21/1993
Slow Burn, LGF, $1237615, 1163, $778123, 1163, 4/13/2007
Slow Learners, IFC, $22272, 6, $948, 1, 8/19/2015
Slow West, A24, $229094, 54, $67003, 50, 5/20/2015
The Slugger's Wife, Col., $1878561, 898, $1314993, 898, 3/29/1985
Slumber, VE, n/a, n/a, n/a, n/a, 12/1/2017
Slumber Party Massacre 3, Conc, $1242995, 81, $270135, 81, 9/7/1990
Slumdog Millionaire, FoxS, $141319928, 2943, $360018, 10, 11/12/2008
Slums of Beverly Hills, FoxS, $5502773, 253, $125561, 7, 8/14/1998
Slutty Summer, Embr., $21515, 2, $5094, 1, 6/10/2005
Small Change (re-issue), FDesk, $38296, 2, $4624, 1, 11/24/2009
A Small Circle of Friends, MGM, $766760, n/a, $61109, 19, 3/12/1980
Small Faces, Oct., $155239, 12, $10972, 2, 8/14/1996
A Small Good Thing, KL, $1196, 2, $1196, 2, 8/19/2016
Small Soldiers, DW, $54682547, 2613, $14047592, 2539, 7/10/1998
Small Time Crooks, DW, $17266359, 886, $3880723, 865, 5/19/2000
Small Town Murder Songs, Mont., $31133, 7, $2810, 7, 6/3/2011
Small Voices, Sml.Isld, $69739, 6, $15166, 6, 10/10/2003
Small Wonders, Mira., $20819, 7, $2880, 1, 10/4/1996
Small Beautiful Moving Parts, Long Shot, $8631, 1, $3087, 1, 5/11/2012
Smallfoot, WB, n/a, n/a, n/a, n/a, 9/28/2018
Smart People, Mira., $9511289, 1119, $4092465, 1106, 4/11/2008
Smash & Grab: The Story of the Pink Panthers, DR, $18938, 3, $4794, 1, 7/31/2013
Smash His Camera, Magn., $3644, 1, $2367, 1, 7/30/2010
Smashed, SPC, $376597, 50, $26943, 4, 10/12/2012
Smile, Free, $32833, 60, n/a, 60, 4/8/2005
A Smile Like Yours, Par., $3330352, 582, $1163576, 582, 8/22/1997
Smiley Face, First, $9397, 1, $5993, 1, 11/16/2007
Smiling Fish & Goat on Fire, Strat., $278492, 15, $12994, 1, 8/25/2000
Smiling Through the Apocalypse, FRun, $4560, 1, $2590, 1, 9/12/2014
Smilla's Sense of Snow, FoxS, $2372903, 135, $107108, 8, 2/28/1997
Smoke, Mira., $8367636, 128, $70744, 4, 6/9/1995
Smoke Signals, Mira., $6745362, 66, $43574, 5, 6/26/1998
Smokers Only, Strand, $11871, 1, $3102, 1, 12/20/2002
Smokey & the Bandit Part III, Uni., $5678950, 1119, $1728060, 498, 8/12/1983
Smokey and the Bandit, Uni., $126737428, n/a, n/a, n/a, 5/27/1977
Smokey and the Bandit II, Uni., $66132626, n/a, $10883835, 1196, 8/15/1980
Smokin' Aces, Uni., $35787686, 2219, $14638755, 2218, 1/26/2007
Smooth Talk, Spec., $16785, 2, $16785, 2, 11/15/1985
Smother, Vari., n/a, 25, n/a, 25, 9/26/2008
Smothered, Indic., n/a, n/a, n/a, n/a, 4/8/2016
The Smurfs, Sony, $142614158, 3427, $35611637, 3395, 7/29/2011
The Smurfs 2, Sony, $71017784, 3867, $17548389, 3866, 7/31/2013
The Smurfs and the Magic Flute, Atl, $11234220, 432, $1180582, 183, 10/7/1983
Smurfs: The Lost Village, Sony, $45020282, 3610, $13210449, 3610, 4/7/2017
Snake and Mongoose, RM, $152200, 14, $20254, 1, 8/9/2013
Snake Eyes, Par., $55591409, 2718, $16310373, 2713, 8/7/1998
Snakes on a Plane, NL, $34020814, 3555, $13806311, 3555, 8/18/2006
The Snapper, Mira., $3323524, 1, $21802, 1, 11/24/1993
Snatch, SGem, $30328156, 1444, $27932, 1, 12/8/2000
Snatched, Fox, $45852178, 3511, $19542248, 3501, 5/12/2017
Sneakerheadz, SD, $1903, 3, $1903, 3, 8/7/2015
Sneakers, Uni., $51432691, 2062, $10031145, 1731, 9/11/1992
Sniper, TriS, $18994653, 1553, $5715435, 1551, 1/29/1993
Snipes, Ruff, $70569, 43, $14027, 6, 9/4/2002
Snitch, LG/S, $42930462, 2511, $13167607, 2511, 2/22/2013
The Snitch Cartel, PI, n/a, n/a, n/a, n/a, 10/18/2013
Snoop Dogg's Hood of Horror, Xen., $25900, 117, $25900, 117, 5/4/2007
Snow Angels, WIP, $402858, 47, $14247, 2, 3/7/2008
Snow Cake, IFC, $26651, 12, $5030, 4, 4/27/2007
Snow Day, Par., $60020107, 2717, $14331819, 2664, 2/11/2000
Snow Dogs, BV, $81172560, 2454, $17814259, 2302, 1/18/2002
Snow Falling on Cedars, Uni., $14417593, 1155, $32135, 3, 12/22/1999
Snow Flower and the Secret Fan, FoxS, $1348205, 116, $134005, 24, 7/15/2011
Snow Girl and the Dark Crystal, WGUSA, $165428, 24, $73817, 24, 2/27/2015
The Snow Walker, Lions, $201149, 16, $35000, 16, 3/5/2004
Snow White and the Huntsman, Uni., $155332381, 3777, $56217700, 3773, 6/1/2012
Snow White and the Seven Dwarfs, Dis., $66596803*, n/a, n/a, n/a, 12/21/1937
Snow White and the Seven Dwarfs (Re-issue) (1983), BV, $30100000*, 1362, $6017914, 1362, 7/15/1983
Snow White and the Seven Dwarfs (Re-issue) (1987), BV, $46594212*, 1729, $7514749, 1729, 7/17/1987
Snow White and the Seven Dwarfs (Re-issue) (1993), BV, $41634471*, 1831, $9018121, 1814, 7/2/1993
Snowboarder, Chri., $27732, 29, $27732, 29, 10/24/2003
Snowden, ORF, $21587519, 2443, $8000058, 2443, 9/16/2016
The Snowman, Uni., $6670765, 1815, $3372565, 1812, 10/20/2017
Snowman's Land, MBox, $1190, 1, $656, 1, 9/14/2012
Snowmen, Cdgm., $54805, 16, $54333, 16, 10/21/2011
Snowpiercer, RTWC, $4563650, 356, $171187, 8, 6/27/2014
Snowriders, WM, $2068490, n/a, n/a, n/a, 10/16/1996
Snowriders 2, WM, $2287639, n/a, n/a, n/a, 10/15/1997
The Snows of Kilimanjaro, Fox, n/a, n/a, n/a, n/a, 8/18/1952
The Snowtown Murders, IFC, $8452, 3, $1273, 1, 3/2/2012
So B. It, Good Deed, $47627, 22, $7455, 2, 10/6/2017
So Close, Strand, $76584, 11, $31702, 11, 9/12/2003
So Goes the Nation, IFC, $10337, 4, $2622, 4, 10/4/2006
So I Married an Axe Murderer, TriS, $11585483, 1355, $3466930, 1349, 7/30/1993
So Much So Fast, Bal., $21525, 3, $1015, 1, 10/11/2006
So Proudly We Hail, Par., n/a, n/a, n/a, n/a, 9/9/1943
So Undercover, Wein., n/a, n/a, n/a, n/a, TBD
So Young, CL, $11186, 3, $5281, 3, 6/14/2013
So Young 2: Never Gone, CL, $96421, 21, $52134, 21, 7/15/2016
Soaked in Bleach, Emr., n/a, n/a, n/a, n/a, 6/11/2015
Soap, Strand, $4164, 2, $1445, 2, 11/3/2006
Soapdish, Par., $36489888, 1275, $6736380, 1275, 5/31/1991
Sobibor October 14 1943 4PM, NYer, $41040, 2, $7412, 1, 10/12/2001
The Social Network, Sony, $96962694, 2921, $22445653, 2771, 10/1/2010
Soft Fruit, FoxS, $13654, 1, n/a, n/a, 3/17/2000
Sol LeWitt, Icar., $13146, 2, $4051, 1, 5/7/2014
Solace, LGP, n/a, n/a, n/a, n/a, 12/16/2016
Solar Flare, Reg., $4098, 1, $1554, 1, 6/6/2008
Solarbabies, MGM, $1579260, 692, $704692, 692, 11/26/1986
Solaris, Fox, $14973382, 2406, $6752722, 2406, 11/27/2002
Solaris (2017 re-release), Jan., n/a, n/a, n/a, n/a, 5/12/2017
Solarmax, Hel., $13400161, 6, $35341, 6, 9/15/2000
Solas, IDP, $277596, 14, $26634, 10, 9/8/2000
Sold, Mats., $57527, 9, $5070, 1, 4/1/2016
Soldier, WB, $14594226, 2507, $6447237, 2507, 10/23/1998
The Soldier, Emb, $6328816, 488, $2025614, 488, 8/13/1982
Soldier Blue, AVCO, n/a, n/a, n/a, n/a, 8/12/1970
A Soldier's Daughter Never Cries, Oct., $1782005, 149, $39517, 5, 9/18/1998
A Soldier's Story, Col., $21821347, 581, $156383, 5, 9/14/1984
Soldiers of Fortune, RAtt., $38898, 50, $24978, 50, 8/3/2012
Solitary Man, Anch., $4360548, 177, $94936, 4, 5/21/2010
Solitude, Indic., $6260, 2, $1480, 2, 1/7/2005
Solo, Sony, $5107669, 1230, $2228668, 1230, 8/23/1996
Solo Con Tu Pareja, IFC, $9915, 1, $3921, 1, 9/20/2006
Solo: A Star Wars Story (3D), BV, n/a, n/a, n/a, n/a, 5/25/2018
The Soloist, P/DW, $31720158, 2090, $9716458, 2024, 4/24/2009
Solomon & Gaenor, Sony, $165485, 22, $39087, 20, 8/25/2000
Solomon Kane, RTWC, n/a, 15, n/a, 15, 9/28/2012
Some Body, Lot47, $2042, 1, $2042, 1, 4/26/2002
Some Freaks, Good Deed, n/a, n/a, n/a, n/a, 8/4/2017
Some Girls, MGM, $401421, 23, $11704, 2, 9/9/1988
Some Kind of Hero, Par., $23671186, 975, $5631293, 975, 4/2/1982
Some Kind of Wonderful, Par., $18553948, 1082, $3486701, 1082, 2/27/1987
Some Like It Hot, UA, n/a, n/a, n/a, n/a, 3/29/1959
Some Like It Hot (Qing Shung), CL, $100026, 10, $42230, 10, 1/13/2017
Some Mother's Son, Sony, $671437, 35, $88515, 14, 12/27/1996
Some Velvet Morning, Trib., $6420, 2, n/a, n/a, 12/13/2013
Somebody Killed Her Husband, Col., n/a, n/a, n/a, n/a, 7/29/1978
Somebody to Love, Leg., $18112, 10, $10343, 10, 9/27/1996
Somebody Up There Likes Me, Trib., $89435, 3, $34362, 1, 3/8/2013
Somebody Up There Likes Me, MGM, n/a, n/a, n/a, n/a, 7/3/1956
Someone Like You, Fox, $27343067, 2349, $10010600, 2345, 3/30/2001
Someone to Love, Castle, n/a, n/a, n/a, n/a, 4/21/1988
Someone to Watch Over Me, Col., $10278549, 894, $2908796, 892, 10/9/1987
Somersault, Magn., $92214, 7, $21566, 5, 4/21/2006
Something Borrowed, WB, $39046489, 2904, $13945368, 2904, 5/6/2011
Something From Nothing: The Art of Rap, IM, $288312, 157, $150337, 157, 6/15/2012
Something in the Air, IFC, $85154, 10, $13288, 3, 5/3/2013
Something New, Focus, $11468568, 1265, $4879736, 1265, 2/3/2006
Something Short of Paradise, AIP, n/a, n/a, n/a, n/a, 1979
Something Special, PEC, $277405, 182, $214000, 182, 11/14/1986
Something to Cheer About, Truly, $9777, 9, $6410, 9, 4/27/2007
Something to Talk About, WB, $50865589, 1787, $11115697, 1510, 8/4/1995
Something Wicked This Way Comes, BV, $8400000, 817, $2423555, 817, 4/29/1983
Something Wild, Orion, $8362969, 916, $1825717, 914, 11/7/1986
Something's Gotta Give, Sony, $124728738, 2876, $16064723, 2677, 12/12/2003
A Somewhat Gentle Man, Strand, $37743, 3, $2506, 1, 1/14/2011
Somewhere, Focus, $1785645, 83, $119086, 7, 12/22/2010
Somewhere Between, Long Shot, $210975, 6, $7799, 1, 8/24/2012
Somewhere in Sonora, Vit., n/a, n/a, n/a, n/a, 5/27/1933
Somewhere in Time, Uni., $9709597, n/a, $1203011, 369, 10/3/1980
Somewhere Only We Know, CL, $482341, 46, $304934, 46, 2/13/2015
Somm, Gold., $174197, 9, $28050, 5, 6/21/2013
Sommersby, WB, $50081992, 1762, $8104624, 1432, 2/5/1993
The Son, NYer, $70262, 3, $10048, 2, 1/10/2003
Son Frere, Strand, $22834, 2, $6802, 1, 4/2/2004
Son of Frankenstein, Uni., n/a, n/a, n/a, n/a, 1/13/1939
Son of Fury: The Story of Benjamin Blake, Fox, n/a, n/a, n/a, n/a, 1/29/1942
Son of God, Fox, $59700064, 3271, $25601865, 3260, 2/28/2014
The Son of Joseph, KL, $30588, 3, n/a, n/a, 9/29/2016
The Son of No One, Anch., $30680, 10, $18015, 10, 11/4/2011
Son of Rambow, ParV, $1785505, 155, $53789, 5, 5/2/2008
Son of Sardaar, Eros, $771789, 109, $341552, 109, 11/13/2012
Son of Saul, SPC, $1777043, 180, $37930, 3, 12/18/2015
Son of the Bride, SPC, $624757, 18, $34231, 6, 3/22/2002
Son of the Mask, NL, $17018422, 2966, $7511675, 2966, 2/18/2005
Son of the Pink Panther, MGM, $2438031, 983, $1129689, 983, 8/27/1993
The Son's Room, Mira., $1016340, 21, $4887, 1, 1/25/2002
Son-in-Law, BV, $36448400, 1406, $7033310, 1389, 7/2/1993
Sonatine, Roll., $58834, 6, $17527, 2, 4/10/1998
The Song, Gold., $1009620, 340, $568596, 340, 9/26/2014
A Song for Martin, First, $27983, 2, $5755, 2, 12/21/2001
Song of Granite, Osci., $4230, 1, $3096, 1, 11/15/2017
Song of Love, MGM, n/a, n/a, n/a, n/a, 10/9/1947
The Song of Sparrows, Reg., $116372, 5, $7863, 1, 4/3/2009
Song of the Sea, GK, $857522, 48, $21910, 2, 12/19/2014
Song of the South (Re-issue), BV, $17659346*, 1529, $4203111, 1505, 11/21/1986
Song of the South (Re-issue) (1980), BV, $19800000*, n/a, n/a, n/a, 10/8/1980
Song of the Thin Man, MGM, n/a, n/a, n/a, n/a, 8/28/1947
Song One, TFA, $32251, 27, $20200, 27, 1/23/2015
Song to Song, BG, $443684, 95, $50559, 4, 3/17/2017
Songcatcher, Lions, $3059834, 104, $41967, 7, 6/15/2001
Songs from the Second Floor, NYer, $80334, 2, $10307, 1, 8/17/2001
Songs My Brothers Taught Me, KL, $34793, 5, $3430, 1, 3/2/2016
Songwriter, TriS, $865915, 499, $497406, 499, 10/12/1984
Sonny, GldC, $30005, 6, $17639, 6, 12/27/2002
The Sons of Katie Elder, Par., n/a, n/a, n/a, n/a, 7/1/1965
Sons of Provo, Hale, $120488, 8, $25354, 7, 2/4/2005
The Sons of Tennessee Williams, FRun, $3242, 1, $1492, 1, 10/7/2011
Sophie and the Rising Sun, Mont., $34630, 8, n/a, n/a, 1/20/2017
Sophie Scholl - The Final Days, Zeit., $680331, 28, $17310, 1, 2/17/2006
Sophie's Choice, Uni., $30036000, 548, $202131, 9, 12/10/1982
Sophomore, N/A, $18945, 1, $13097, 1, 1/13/2012
Sorcerer, Uni., n/a, n/a, n/a, n/a, 6/24/1977
The Sorcerer and the White Snake, Magn., $18759, 4, $5530, 1, 2/8/2013
The Sorcerer's Apprentice, BV, $63150991, 3504, $17619622, 3504, 7/14/2010
Sordid Lives, Reg., $1111273, 8, $14000, 7, 5/11/2001
Sorority Boys, BV, $10200032, 1801, $4127903, 1801, 3/22/2002
Sorority Girls' Revenge, Ibex, $582, n/a, n/a, n/a, 9/21/2001
Sorority Row, Sum., $11965282, 2665, $5059802, 2665, 9/11/2009
Sorry Haters, IFC, $7129, 6, $2207, 1, 3/1/2006
Soul Food, Fox, $43700855, 1350, $11197897, 1336, 9/26/1997
Soul in the Hole, N/A, $30697, 6, n/a, n/a, 8/8/1997
Soul Kitchen, IFC, $276901, 23, $20916, 2, 8/20/2010
Soul Man, NW, $27820000, 1320, $4422179, 1282, 10/24/1986
Soul Men, MGM/W, $12082391, 2048, $5401605, 2044, 11/7/2008
Soul on a String, FM, $3669, 2, $1355, 2, 5/19/2017
Soul Plane, MGM, $14190750, 1566, $5648486, 1566, 5/28/2004
Soul Power, SPC, $207121, 23, $23893, 6, 7/10/2009
Soul Surfer, TriS, $43853424, 2240, $10601862, 2214, 4/8/2011
Soul Survivors, Art., $3111545, 604, $1140698, 601, 9/7/2001
Souldier, PDF, $1500, 2, $900, 2, 2/21/2014
Sound and Fury, AL, $114882, 6, $7104, 2, 10/25/2000
Sound City, Vari., $422853, 50, $62842, 16, 2/1/2013
The Sound of Music, Fox, $158671368, n/a, n/a, n/a, 3/2/1965
Sound of My Voice, FoxS, $408015, 48, $36134, 5, 4/27/2012
Sound of Noise, Magn., $24565, 5, $5877, 3, 3/9/2012
A Sound of Thunder, WB, $1900451, 816, $917398, 816, 9/2/2005
Sour Grapes, Sony, $123104, 28, $123104, 28, 4/17/1998
The Source, Wells, $362649, n/a, n/a, n/a, 8/25/1999
Source Code, Sum., $54712227, 2971, $14812094, 2961, 4/1/2011
South Central, WB, $1373196, 37, $147629, 37, 9/18/1992
South of Heaven West of Hell, BSR, $28149, 9, $16666, 9, 6/15/2001
South of the Border, CLS, $198600, 12, $21545, 1, 6/25/2010
South Pacific, Fox, n/a, n/a, n/a, n/a, 3/19/1958
South Park - Bigger Longer and Uncut, Par., $52037603, 2128, $11335889, 2128, 6/30/1999
Southbound, Orch., $23665, 25, $6250, 4, 2/5/2016
Southern Baptist Sissies, TFC, $30160, 3, $5200, 1, 2/21/2014
Southie, Lions, $52819, 2, $16860, 2, 5/28/1999
Southland Tales, Gold., $275380, 63, $123428, 63, 11/14/2007
Southpaw, Wein., $52421953, 2772, $16701294, 2772, 7/24/2015
Southpaw: The Francis Barrett Story, Shoot., $28365, 19, $21381, 19, 4/7/2000
Southside with You, RAtt., $6304223, 897, $2868403, 813, 8/26/2016
SPA Animated Franchise (2019), Sony, n/a, n/a, n/a, n/a, 7/26/2019
SPA Animated Franchise (2020), Sony, n/a, n/a, n/a, n/a, 4/3/2020
SPA Animated Franchise II (2019), Sony, n/a, n/a, n/a, n/a, 12/25/2019
SPA Animated Franchise II (2020), Sony, n/a, n/a, n/a, n/a, 9/25/2020
Spa Night, Strand, $38578, 2, $7056, 1, 8/19/2016
The Space Between Us, STX, $7885294, 2812, $3775596, 2812, 2/3/2017
Space Camp, Fox, $9697739, 1024, $2918072, 979, 6/6/1986
Space Chimps, Fox, $30105968, 2538, $7181374, 2511, 7/18/2008
Space Cowboys, WB, $90464773, 2835, $18093776, 2805, 8/4/2000
Space Dogs 3D, EpicPics, $14408, 5, $14408, 5, 5/18/2012
Space Dogs: Adventure To The Moon, EpicPics, n/a, n/a, n/a, n/a, TBD
Space Jam, WB, $90418342, 2650, $27528529, 2650, 11/15/1996
A Space Program, Zeit., $13739, 1, $10247, 1, 3/18/2016
Space Rage, Gar., $7689, n/a, n/a, n/a, 11/21/1986
Space Station 3-D (IMAX), Imax, $93304262, 64, $489488, 24, 4/19/2002
Spaceballs, MGM, $38119483, 1389, $6613837, 1384, 6/26/1987
Spaced Invaders, BV, $15369573, 1845, $4474336, 1821, 4/27/1990
Spacehunter: Adventures in the Forbidden Zone, Col., $16478265, 1344, $7053016, 1338, 5/20/1983
Spanglish, Sony, $42726869, 2587, $8817853, 2438, 12/17/2004
Spanish Fly, Mira., $15503, n/a, n/a, n/a, 12/1/1999
The Spanish Prisoner, SPC, $9584314, 296, $124011, 7, 4/3/1998
Spanking the Monkey, FL, $1359736, 37, $35396, 3, 7/15/1994
Spare Parts, LGF, $3618912, 440, $1335768, 440, 1/16/2015
Spark: A Burning Man Story, P/FB, $120459, 8, $9366, 2, 8/16/2013
Spark: A Space Tail, ORF, $196458, 365, $116873, 365, 4/14/2017
Sparkle, WB, n/a, n/a, n/a, n/a, 4/7/1976
Sparkle (2012), TriS, $24397469, 2244, $11643342, 2244, 8/17/2012
Sparkler, Strand, $7326, 1, $1370, 1, 3/19/1999
Sparrow's Dance, Trib., $2602, 1, n/a, n/a, 8/23/2013
Spartacus, Uni., n/a*, n/a, n/a, n/a, 10/8/1960
Spartacus (re-issue), Uni., $1830650*, 52, $92162, 4, 4/26/1991
Spartan, WB, $4434432, 832, $2011435, 832, 3/12/2004
Spawn, NL, $54870175, 2604, $19738749, 2536, 8/1/1997
Speaking in Strings, 7Art, $6859, 2, $1519, 1, 9/10/1999
Speaking Parts, Zeit., $76609, 1, $8934, 1, 2/16/1990
Special, Magn., $7202, 1, $3232, 1, 11/21/2008
Special Forces, EOne, $10759, 5, $10759, 5, 10/12/2012
Special ID, WGUSA, $12666, 10, $6153, 10, 3/7/2014
Special Treatment, FRun, $8856, 1, $678, 1, 8/26/2011
The Specialist, WB, $57362582, 2522, $14317765, 2522, 10/7/1994
The Specials, Reg., $13276, 2, n/a, n/a, 9/22/2000
Species, MGM, $60074103, 2310, $17161943, 2310, 7/7/1995
Species II, MGM, $19221939, 2510, $7274008, 2510, 4/10/1998
The Spectacular Now, A24, $6854611, 770, $197415, 4, 8/2/2013
Spectral, Uni., n/a, n/a, n/a, n/a, TBD
Spectre, Sony, $200074609, 3929, $70403148, 3929, 11/6/2015
Speechless, MGM, $20667959, 1404, $3969048, 1404, 12/16/1994
Speed, Fox, $121248145, 2169, $14456194, 2138, 6/10/1994
Speed 2: Cruise Control, Fox, $48608066, 2625, $16158942, 2615, 6/13/1997
