title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
Above the Rim, NL, $16192320, 891, $3738800, 836, 3/25/1994
Abracadabra, Sony, $3470, 10, $2116, 10, 9/15/2017
Abraham Lincoln: Vampire Hunter, Fox, $37519139, 3109, $16306974, 3108, 6/22/2012
Absence, Cdgm., $1031, n/a, n/a, n/a, 7/5/2013
Absence of Malice, Col., $40716963, 994, $97667, 2, 11/20/1981
Absolute Beginners, Orion, $930211, 4, $83743, 4, 4/18/1986
Absolute Power, Sony, $50068310, 2568, $14678016, 2568, 2/14/1997
Absolute Wilson, NYer, $66217, 3, $6879, 2, 10/27/2006
Absolutely Anything, ADC, n/a, n/a, n/a, n/a, 5/12/2017
Absolutely Fabulous: The Movie, FoxS, $4772155, 355, $1861118, 313, 7/22/2016
Absurdistan, FRun, $39683, 3, $1441, 1, 2/6/2009
Abuse of Weakness, Strand, $31611, 5, $9140, 1, 8/15/2014
The Abyss, Fox, $54222310*, 1538, $9319797, 1533, 8/11/1989
The Abyss Special Edition, Fox, $238737*, 2, $20962, 2, 2/26/1993
Accepted, Uni., $36323505, 2917, $10023835, 2914, 8/18/2006
Accident, Rialto, $17161, 1, $5798, 1, 5/23/2014
Accidental Courtesy: Daryl Davis Race & America, FRun, $1940, 1, $1452, 1, 1/6/2017
The Accidental Husband, YFG, n/a, n/a, n/a, n/a, N/A
The Accidental Tourist, WB, $32632093, 954, $97578, 3, 12/23/1988
The Accompanist, SPC, $769983, n/a, n/a, n/a, 12/23/1993
The Accountant, WB, $86260045, 3402, $24710273, 3332, 10/14/2016
The Accused, Par., $32078318, 930, $4316369, 796, 10/14/1988
Ace in the Hole, Par., n/a, n/a, n/a, n/a, 6/29/1951
Ace Ventura: Pet Detective, WB, $72217396, 1963, $12115105, 1750, 2/4/1994
Ace Ventura: When Nature Calls, WB, $108385533, 2705, $37804076, 2652, 11/10/1995
Aces: Iron Eagle III, NL, $2517600, 1051, $942814, 1051, 6/12/1992
Acrimony, LGF, n/a, n/a, n/a, n/a, 3/30/2018
Across the Sea of Time (IMAX), SPC, $16015639, 2, $11761, 2, 10/20/1995
Across the Universe, SonR, $24343673, 964, $667784, 23, 9/14/2007
Act of God, Zeit., $9955, 1, $522, 1, 7/31/2009
Act of Killing, Drft., $486919, 29, $27450, 1, 7/19/2013
Act of Valor, Rela., $70012847, 3053, $24476632, 3039, 2/24/2012
Action Jackson, Lori, $20256975, 1249, $5424783, 1249, 2/12/1988
Action Jackson (2014), Eros, $256872, 125, $171795, 125, 12/5/2014
Action Point, Par., n/a, n/a, n/a, n/a, 3/23/2018
Actress (2014), CGld, $19365, 4, $4880, 1, 11/7/2014
Acts of Worship, Mnf., $9377, 1, $6626, 1, 11/21/2003
Ad Astra, Fox, n/a, n/a, n/a, n/a, 1/11/2019
Adam, FoxS, $2277396, 177, $68377, 4, 7/29/2009
Adam & Steve, TLA, $309404, 17, $66429, 17, 3/31/2006
Adam's Apples, Outs, $1305, 1, $1305, 1, 3/16/2007
Adam's Rib, MGM, n/a, n/a, n/a, n/a, 11/18/1949
Adaptation., Sony, $22498520, 672, $384478, 7, 12/6/2002
The Addams Family, Par., $113502426, 2411, $24203754, 2411, 11/22/1991
Addams Family Values, Par., $48919043, 2577, $14117545, 2577, 11/19/1993
Adderall Diaries, A24, $13191, 31, $5517, 30, 4/15/2016
Addicted, LGF, $17390770, 1037, $7485346, 846, 10/10/2014
Addicted to Fame, Abr., n/a, n/a, n/a, n/a, 11/30/2012
Addicted to Love, WB, $34673095, 2021, $11446098, 2007, 5/23/1997
The Addiction, Oct., $307308, 14, $46448, 7, 10/6/1995
Addiction Incorporated, Vari., $40106, 5, $1629, 1, 12/14/2011
The Adjuster, OrionC, $396573, 18, $10686, 1, 5/29/1992
The Adjustment Bureau, Uni., $62495645, 2847, $21157730, 2840, 3/4/2011
The Admiral: Roaring Currents, CJ, $2589811, 45, $51431, 1, 8/8/2014
Admission, Focus, $18007317, 2161, $6154984, 2160, 3/22/2013
Adoration, SPC, $294244, 20, $39358, 10, 5/8/2009
Adore, EXCL, $318982, 57, $119806, 57, 9/6/2013
Adored: Diary of a Male Porn Star, Wlfe., $41703, 3, $5005, 3, 4/2/2004
Adrenaline Rush: The Science of Risk (IMAX), GSF, $10994028, 17, n/a, n/a, 10/18/2002
Adrift in Manhattan, Scre., $2099, 1, $2099, 1, 9/21/2007
Adult Beginners, RTWC, $108808, 54, $36657, 10, 4/24/2015
Adult World, IFC, $25368, 11, $3783, 2, 2/14/2014
Advanced Style, B360, $87879, 12, $6500, 1, 9/26/2014
Adventureland, Mira., $16044025, 1876, $5722039, 1862, 4/3/2009
The Adventurer: The Curse of the Midas Box, TFA, $6399, 82, $4756, 82, 1/10/2014
The Adventurers, WGUSA, $216556, 17, $68614, 17, 8/18/2017
Adventures in Babysitting, BV, $34368475, 1148, $2901297, 1126, 7/3/1987
Adventures of a Young Man, Fox, n/a, n/a, n/a, n/a, 7/25/1962
Adventures of American Rabbit, Atl, $1268443, 242, $291126, 242, 1/17/1986
The Adventures of Baron Munchausen, Col., $8083123, 120, $597400, 46, 3/10/1989
The Adventures of Buckaroo Banzai, Fox, $6254148, 236, $620279, 236, 8/10/1984
Adventures of Don Juan, WB, n/a, n/a, n/a, n/a, 12/1/1948
